OBJECTID_1,Nom_du_sit,category,x,y,area,price,dist_center,price_rel,prob_destr,area2
58,"friche","friche",894158.647918,6241004.37405,0.1,4121,6225.92138672,2.59182389937107,0.539162281840504,1.36544693944439
59,"friche","friche",894359.909918,6250749.76388,0.1,1590,5043.21337891,1,0.607708868326068,1.1757278366784
60,"friche","friche",901959.741239,6250314.10635,0.1,2175,11129.5146484,1.36792452830189,0.254963157980531,2.49790840892915
61,"friche","friche",896259.788902,6247501.29109,0.1,2939,4878.20654297,1.84842767295597,0.617272222320275,0.497730613251236
62,"friche","friche",896195.599012,6239483.21781,0.1,2791,8570.13378906,1.75534591194969,0.403298013469587,0.889739332885569
63,"friche","friche",901763.639246,6248361.94013,0.1,2473,10436.0771484,1.55534591194969,0.295152937074104,1.17292465280718
64,"friche","friche",899076.102573,6253026.67492,0.1,2175,9963.97558594,1.36792452830189,0.322514678406232,1.31999759367614
65,"friche","friche",894229.253219,6252411.02256,0.1,1590,6414.1796875,1,0.528251335257893,2.05923842468944
66,"friche","friche",895444.252593,6243478.33169,0.1,2791,5060.04931641,1.75534591194969,0.606733102508733,0.210037881643158
67,"friche","friche",897882.476093,6244654.35959,0.1,2096,6709.61230469,1.31823899371069,0.511128852522387,1.44905361154536
68,"friche","friche",891349.260559,6253653.06518,0.1,1679,7051.02099609,1.0559748427673,0.491341719741146,0.467194542135886
69,"friche","friche",899962.697122,6251047.65003,0.1,2175,9580.90332031,1.36792452830189,0.344716520291829,0.126519777900469
70,"friche","friche",895228.772686,6247124.16485,0.1,2884,3784.52099609,1.81383647798742,0.680659305549752,1.1065635061817
71,"friche","friche",899756.370706,6251531.35836,0.1,2175,9631.44824219,1.36792452830189,0.341787072079613,0.440689027062779
72,"friche","friche",890859.899918,6255949.77521,0.1,1679,9349.27246094,1.0559748427673,0.35814122413224,0.153734168936535
73,"friche","friche",895173.885557,6251544.95982,0.1,1590,6150,1,0.543562481946144,1.0732382798358
74,"friche","friche",894629.954163,6242833.63254,0.1,4121,4920.45751953,2.59182389937107,0.614823468951104,1.19941043076792
75,"friche","friche",900153.447944,6248867.13081,0.1,2939,8957.19824219,1.84842767295597,0.380864795095517,1.28836719460586
76,"friche","friche",897286.651266,6247185.55502,0.1,2939,5847.84570313,1.84842767295597,0.561074535221859,1.25787042296036
77,"friche","friche",891058.394083,6254734.27304,0.1,1679,8140.84130859,1.0559748427673,0.42817865513754,0.578949100366034
78,"friche","friche",899366.921371,6252272.82686,0.1,2175,9716.01757813,1.36792452830189,0.33688566001361,0.517150722402564
79,"friche","friche",901228.737791,6252522.53759,0.1,2175,11401.3417969,1.36792452830189,0.239208784947848,0.973571015255961
80,"friche","friche",903458.174901,6247335.18969,0.1,2473,12021.5810547,1.55534591194969,0.20326137980154,0.202328688073771
81,"friche","friche",892999.499137,6251972.58007,0.1,1590,5583.70849609,1,0.576383219856496,0.582247249759206
82,"friche","friche",894045.346245,6241639.03481,0.1,4121,5608.63623047,2.59182389937107,0.574938475177941,1.69582851646187
83,"friche","friche",891372.316585,6254184.23642,0.1,1679,7560.53564453,1.0559748427673,0.46181161621236,2.12882949565084
84,"friche","friche",895159.141107,6243734.53155,0.1,2791,4680.86523438,1.75534591194969,0.628709595693172,1.2009601558256
85,"friche","friche",900195.436413,6248526.49579,0.1,2939,8938.640625,1.84842767295597,0.381940344853598,0.925521962762982
86,"friche","friche",893836.685576,6241379.32719,0.1,4121,5760.15625,2.59182389937107,0.566156780918307,0.723167135020799
87,"friche","friche",899649.605725,6253734.50259,0.1,2175,10845.6533203,1.36792452830189,0.271414999811333,0.312592987141445
88,"friche","friche",899652.335177,6251059.14632,0.1,2175,9316.09863281,1.36792452830189,0.360063890305086,0.779675908732711
89,"friche","friche",897160.504573,6246829.60693,0.1,2473,5703.8671875,1.55534591194969,0.569419144126613,0.723670190012823
90,"friche","friche",894425.173547,6243088.4048,0.1,4121,4620.87646484,2.59182389937107,0.632186384006334,0.131961187360381
91,"friche","friche",898360.841917,6249231.8904,0.1,2939,7377.13378906,1.84842767295597,0.472441096240034,0.497917084970685
92,"friche","friche",889937.393087,6253286.44793,0.1,1679,6833.48388672,1.0559748427673,0.503949587602683,0.654074790805852
93,"friche","friche",891002.312936,6251528.71476,0.1,1679,4943.359375,1.0559748427673,0.613496138784835,0.645611334509701
94,"friche","friche",899880.961686,6253206.06403,0.1,2175,10682.6962891,1.36792452830189,0.280859552616269,1.97261088816554
95,"friche","friche",893031.990519,6248778.50648,0.1,1628,2664.43237305,1.02389937106918,0.745576640313449,0.892155753908047
96,"friche","friche",892863.168841,6243704.30244,0.1,4121,3220.63647461,2.59182389937107,0.713340541209153,0.344644499772772
97,"friche","friche",896109.477038,6249277.96037,0.1,2939,5362.03320313,1.84842767295597,0.589230925748613,0.319483432909499
98,"friche","friche",902703.568144,6248219.20387,0.1,2473,11332.1005859,1.55534591194969,0.243221819971569,0.10636668502642
99,"friche","friche",895480.572935,6240498.71938,0.1,2791,7322.21289063,1.75534591194969,0.47562416432551,0.635949187158835
100,"friche","friche",896872.422317,6246748.92478,0.1,2939,5401.33300781,1.84842767295597,0.586953214392493,0.512755719749174
101,"friche","friche",891403.83074,6256300.91901,0.1,1679,9690.18554688,1.0559748427673,0.338382815315243,0.809541852660418
102,"friche","friche",899303.860205,6247252.01376,0.1,2473,7855.30371094,1.55534591194969,0.444727649059073,1.711795367546
103,"friche","friche",902698.102681,6245559.00984,0.1,2473,11269.0234375,1.55534591194969,0.246877602446628,1.58027671566447
104,"friche","friche",893008.432471,6243859.23643,0.1,4121,3155.70922852,2.59182389937107,0.717103550388078,1.16382552754277
105,"friche","friche",901201.9164,6245919.34101,0.1,2473,9744.45996094,1.55534591194969,0.335237215731279,0.584789969973949
106,"friche","friche",897212.536548,6242747.6661,0.1,2791,6914.46289063,1.75534591194969,0.499256261559081,0.5507910557567
107,"friche","friche",894753.446806,6244610.45752,0.1,4121,3838.35913086,2.59182389937107,0.677538991544212,1.51758564126155
108,"friche","friche",887648.849145,6254456.91216,0.1,1679,8707.75488281,1.0559748427673,0.395321863699163,0.525266545325212
109,"friche","friche",893666.891002,6241788.37078,0.1,4121,5303.30078125,2.59182389937107,0.592634899518402,1.38342913912319
110,"friche","friche",904487.15407,6247481.63912,0.1,2473,13049.0341797,1.55534591194969,0.143712950241917,0.567708504625169
111,"friche","friche",893249.376196,6244927.33537,0.1,4121,2440.34838867,2.59182389937107,0.758563947504998,0.546633101486591
112,"friche","friche",890902.856883,6251833.13965,0.1,1679,5251.02832031,1.0559748427673,0.595664471264747,0.560948277596915
