troncon_id,delta_ECA,ratio_delta_cost
3758,0.097392,0.005729
3759,0.060034,0.004618
3760,0.831102,0.019788
3761,0.133755,0.013376
3762,0.186494,0.005485
3763,0.105738,0.010574
3767,67.063800,2.579380
3769,0.158006,0.004647
3770,179.390000,6.899600
3771,0.515358,0.032210
3772,2.971770,0.212269
3773,0.201900,0.008413
3777,0.124645,0.003895
3779,0.069851,0.004366
3783,0.417363,0.024551
3784,0.342148,0.048878
3785,0.493705,0.024685
3786,0.104405,0.006141
3789,0.010317,0.000573
3790,0.238665,0.015911
3791,0.027366,0.001440
3793,0.038289,0.003191
3794,0.036094,0.001128
3799,13.483800,0.434963
3800,46.301000,0.625689
3801,102.713000,1.740900
3802,0.258645,0.007390
3803,0.022212,0.000766
3804,1.273500,0.031061
3805,0.159626,0.014511
3806,0.287112,0.015111
3807,0.046245,0.002434
3808,0.021098,0.000639
3809,0.106487,0.006655
3813,0.678216,0.024222
3814,0.032649,0.002332
3815,0.248469,0.013804
3817,0.183471,0.007645
3818,0.025703,0.002142
3819,0.034728,0.002043
3820,0.111840,0.003857
3821,0.215981,0.008999
3822,0.012699,0.001058
3823,0.092739,0.003435
3824,0.017131,0.001071
3826,0.013468,0.001347
3828,0.168573,0.016857
3830,0.309433,0.028130
3831,0.084110,0.004005
3832,0.057989,0.006443
3833,0.200195,0.006903
3842,0.013087,0.000467
3843,0.025092,0.001321
3845,0.063190,0.001109
3847,0.051377,0.002854
3849,0.067867,0.001616
3851,0.213860,0.011256
3852,0.208497,0.006950
3853,0.017495,0.000972
3857,0.046150,0.002715
3858,0.034230,0.002139
3859,0.404648,0.028903
3860,0.545174,0.025961
3862,0.107176,0.003349
3893,0.080514,0.003834
3894,0.057078,0.001214
3897,1.571500,0.056125
3898,0.902985,0.039260
3899,0.398269,0.018103
3900,0.075216,0.005786
3908,8.532230,0.853223
3909,0.228103,0.012005
3910,0.639745,0.015994
3912,0.013459,0.000264
3916,1.003070,0.047765
3918,0.450555,0.020480
3919,3.147600,0.157380
3920,0.029427,0.001279
3921,0.230698,0.012142
3922,46.669500,1.414230
3923,0.030402,0.002172
3925,0.309572,0.013460
3926,0.243534,0.018733
3931,1.092960,0.026658
3932,0.270151,0.027015
3936,1.261340,0.043494
3937,0.215331,0.013458
3938,0.016656,0.001110
3939,0.058544,0.003444
3941,0.252621,0.005875
3942,0.669267,0.013659
3943,1.052250,0.061897
3944,0.280797,0.014040
3945,1.299130,0.032478
3947,0.573544,0.071693
3949,2.160590,0.050246
3952,0.144756,0.002262
3955,0.043822,0.001217
3957,0.060632,0.002425
3958,0.315592,0.031559
3959,0.967916,0.042083
3960,0.862117,0.033158
3962,7.818620,0.094200
3963,1.223070,0.064372
3966,0.018806,0.001106
3968,0.013462,0.000962
3969,0.084308,0.008431
3971,0.305419,0.013883
3972,0.230787,0.010490
3973,0.019405,0.001213
3974,0.515416,0.012571
3975,0.168172,0.012936
3976,0.019589,0.000675
3977,0.081007,0.003375
3978,0.544900,0.009730
4002,17.577600,0.732401
4012,1.773860,0.059129
4013,3.338910,0.069561
4014,0.014691,0.000408
4016,0.011353,0.000277
4022,0.175663,0.006756
4028,0.238533,0.004417
4029,0.806329,0.028798
4032,0.072077,0.000961
4059,0.024891,0.001310
4060,0.111274,0.003179
4061,0.046400,0.001406
4064,23.535500,0.692220
4065,0.077254,0.003679
4070,0.141751,0.007875
4071,0.358866,0.017943
4072,0.260523,0.023684
4073,0.077488,0.002348
4076,0.164423,0.007830
4077,0.279884,0.010765
4079,0.046426,0.002731
4084,0.184918,0.005283
4096,0.011742,0.000255
4122,0.039137,0.001565
4124,0.704764,0.022024
4125,0.898480,0.019117
4153,2.697190,0.058635
4166,0.100149,0.004173
4168,49.952400,0.574165
4169,0.032579,0.001629
4170,1.360900,0.036781
4171,0.516384,0.014754
4172,0.067696,0.001302
4173,0.033896,0.002118
4174,2.305930,0.088689
4175,47.471600,1.438530
4176,5.050300,0.229559
4180,23.924600,0.664572
4181,19.370600,1.139450
4182,1.467090,0.023287
4185,0.447485,0.016574
4190,0.248161,0.019089
4191,1.233510,0.056069
4192,0.097567,0.005420
4194,0.119411,0.003619
4195,0.269618,0.015860
4196,0.824356,0.014462
4202,8.400920,0.064129
4203,1.917340,0.029498
4233,0.056823,0.002706
4234,0.592604,0.006584
4237,0.204718,0.018611
4240,0.064182,0.001035
4241,0.012605,0.000970
4243,0.026114,0.001244
4245,0.028320,0.002023
4246,0.082656,0.004350
4248,0.040943,0.000952
4253,0.825402,0.027513
4254,0.303660,0.008207
4259,20.041100,0.871354
4278,0.018558,0.001428
4321,0.627847,0.025114
4327,0.045475,0.005053
4328,0.146602,0.004442
4329,0.158766,0.013231
4330,0.130730,0.004217
4331,0.224515,0.009355
4339,0.139543,0.006977
4340,0.033013,0.003001
4341,0.010801,0.000600
4343,5.751860,0.442451
4344,0.618837,0.021339
4345,0.259210,0.011782
4349,0.155625,0.010375
4351,0.010859,0.000679
4352,0.033936,0.000870
4353,0.230523,0.015368
4354,0.038906,0.002993
4359,0.041043,0.001080
4370,0.013475,0.000385
4378,0.850866,0.010010
4379,0.016809,0.000494
4407,0.315466,0.011684
4408,0.275832,0.013135
4409,0.063518,0.001270
4415,0.012501,0.000962
4416,1.573240,0.047674
4418,0.030121,0.001159
4420,21.650500,0.721682
4421,0.017827,0.000557
4427,0.225804,0.011884
4435,22.315000,1.239720
4436,54.876600,1.407090
4438,66.068900,1.436280
4439,52.903100,1.706550
4442,0.257266,0.011694
4446,0.020500,0.001367
4447,0.033996,0.001360
4448,0.192685,0.012846
4449,0.413291,0.041329
4450,0.263794,0.011991
4453,1.070260,0.038224
4454,0.614648,0.055877
4455,0.148481,0.004499
4456,0.032484,0.001083
4459,0.126422,0.002528
4461,0.086121,0.003445
4462,0.027842,0.001740
4463,0.058683,0.002551
4464,0.134287,0.004196
4465,0.014349,0.001104
4467,0.017990,0.000529
4468,0.019347,0.000691
4474,4.752470,0.264026
4475,2.755270,0.098403
4476,1.265470,0.070304
4477,0.067772,0.007530
4478,0.159837,0.013320
4479,4.225870,0.071625
4480,0.047229,0.003149
4481,0.044282,0.003163
4499,0.224486,0.008314
4500,0.257226,0.012861
4501,1.096100,0.029624
4504,0.026906,0.000611
4505,0.023284,0.000597
4506,0.137734,0.004443
4508,0.043789,0.001413
4519,0.329906,0.012219
4524,0.017856,0.000893
4527,0.388182,0.021566
4528,0.827567,0.039408
4531,0.101754,0.006360
4533,15.863100,0.689699
4534,1.274100,0.043934
4543,0.038257,0.001417
4546,0.094243,0.003250
4547,0.031319,0.001648
4548,0.023008,0.000442
4553,0.249700,0.019208
4558,2.023210,0.101161
4560,0.106172,0.010617
4561,1.957370,0.108743
4562,0.020221,0.000316
4574,1.508570,0.048664
4576,0.165639,0.006135
4577,0.024019,0.000858
4578,0.064385,0.002012
4579,0.039036,0.000929
4599,0.363028,0.004595
4600,0.144081,0.004803
4605,0.085820,0.004517
4609,0.075585,0.001374
4610,0.011710,0.000651
4611,0.344300,0.008608
4619,0.137435,0.001762
4621,0.077638,0.002875
4622,0.162674,0.005084
4623,1.596810,0.033975
4624,0.038259,0.002551
4626,0.084337,0.009371
4632,3.851280,0.142640
4633,0.091176,0.008289
4634,0.180894,0.007537
4636,0.884082,0.028519
4639,5.253380,0.477580
4640,1.273140,0.057870
4641,0.437427,0.043743
4642,0.770107,0.010696
4643,0.876536,0.019921
4644,0.221572,0.013848
4647,0.537821,0.025611
4648,0.043620,0.004847
4666,0.014867,0.000425
4677,9.999920,0.454542
4678,7.402970,0.462685
4679,5.838310,0.119149
4687,0.014124,0.000831
4701,0.054180,0.002463
4706,0.029119,0.002912
4707,0.043418,0.003101
4713,0.015774,0.001753
4720,0.014384,0.000389
4728,0.017073,0.001067
4746,0.013678,0.000977
4753,7.500120,0.357149
4783,0.341283,0.017962
4786,0.490770,0.003531
4791,0.020502,0.001709
4793,0.342152,0.011037
4823,0.047692,0.003407
4839,0.019591,0.001781
4840,0.034216,0.001426
4842,0.014440,0.000849
4854,0.089864,0.001834
4857,0.015462,0.001189
4880,0.010095,0.000505
4895,0.029904,0.000935
4897,1.005640,0.071832
4898,2.876820,0.287682
4899,0.063490,0.002351
4907,0.105829,0.003649
4910,2.722850,0.226904
4911,0.831859,0.069322
4912,2.931460,0.139593
4913,3.136130,0.087115
4914,4.184460,0.209223
4915,2.243030,0.203911
4916,2.611060,0.145059
4917,3.969120,0.264608
4918,1.297020,0.081064
4935,0.097135,0.005714
4936,0.952725,0.079394
4937,1.342110,0.019737
4948,2.031490,0.065532
4952,0.319118,0.012274
4957,0.034673,0.001051
4958,0.108830,0.004947
4959,0.162828,0.013569
4963,0.039250,0.001570
4964,0.111252,0.004837
4966,0.115165,0.004799
4967,0.111737,0.004656
4968,42.748000,0.459656
4969,6.350770,0.529231
4978,0.151838,0.007230
4981,10.837400,0.309640
4982,4.159570,0.415957
4983,4.903820,0.272435
4984,0.093563,0.003898
4985,0.251403,0.022855
4986,115.632000,4.447390
4987,63.896800,1.521350
4988,104.211000,5.789490
4989,51.995200,1.444310
4993,30.492400,1.325760
4994,0.010526,0.000310
4998,0.024995,0.001136
4999,0.037821,0.002225
5001,0.010279,0.000270
5002,0.074231,0.001456
5005,0.067194,0.002317
5015,0.013454,0.001035
5016,0.107203,0.003573
5017,0.012763,0.000608
5019,0.149408,0.004150
5020,0.970620,0.040442
5024,0.046386,0.001784
5027,0.015154,0.000891
5032,0.010915,0.000195
5034,0.015156,0.000474
5038,5.754990,0.319722
5039,1.706980,0.081285
5040,0.225749,0.004803
5041,0.220126,0.020012
5042,0.038986,0.002437
5043,2.732310,0.101197
5044,0.147069,0.010505
5048,0.091312,0.003652
5049,0.082404,0.003924
5050,0.019028,0.000381
5053,0.034695,0.001577
5054,0.051479,0.001471
5063,0.227138,0.028392
5066,0.102046,0.001398
5071,0.012331,0.000771
