from,to,from_x,from_y,to_x,to_y
170,181,897221.6731,6254280.26,896109.477,6249277.96
170,180,897221.6731,6254280.26,894782.8435,6252089.149
170,179,897221.6731,6254280.26,893572.6591,6250200.509
170,177,897221.6731,6254280.26,893031.9905,6248778.506
170,175,897221.6731,6254280.26,894474.0396,6248609.383
170,173,897221.6731,6254280.26,897817.951,6248248.827
170,172,897221.6731,6254280.26,902428.6381,6247977.304
170,171,897221.6731,6254280.26,895931.1183,6251813.658
169,193,893041.6517,6244378.633,898360.8419,6249231.89
169,187,893041.6517,6244378.633,894884.4415,6241468.28
169,185,893041.6517,6244378.633,899255.6088,6249530.409
169,184,893041.6517,6244378.633,896259.7889,6247501.291
169,183,893041.6517,6244378.633,893999.1711,6241492.247
169,182,893041.6517,6244378.633,898140.7095,6250264.237
169,181,893041.6517,6244378.633,896109.477,6249277.96
169,180,893041.6517,6244378.633,894782.8435,6252089.149
169,179,893041.6517,6244378.633,893572.6591,6250200.509
169,177,893041.6517,6244378.633,893031.9905,6248778.506
169,176,893041.6517,6244378.633,895189.3055,6244277.833
169,175,893041.6517,6244378.633,894474.0396,6248609.383
169,174,893041.6517,6244378.633,895066.1113,6243303.233
169,173,893041.6517,6244378.633,897817.951,6248248.827
169,171,893041.6517,6244378.633,895931.1183,6251813.658
168,195,898248.009,6245355.938,900626.3369,6253112.184
168,194,898248.009,6245355.938,899962.6971,6251047.65
168,193,898248.009,6245355.938,898360.8419,6249231.89
168,191,898248.009,6245355.938,902518.0489,6247189.228
168,190,898248.009,6245355.938,903115.7029,6248328.979
168,189,898248.009,6245355.938,899142.4554,6252598.436
168,188,898248.009,6245355.938,899652.3352,6251059.146
168,187,898248.009,6245355.938,894884.4415,6241468.28
168,185,898248.009,6245355.938,899255.6088,6249530.409
168,184,898248.009,6245355.938,896259.7889,6247501.291
168,183,898248.009,6245355.938,893999.1711,6241492.247
168,182,898248.009,6245355.938,898140.7095,6250264.237
168,181,898248.009,6245355.938,896109.477,6249277.96
168,180,898248.009,6245355.938,894782.8435,6252089.149
168,179,898248.009,6245355.938,893572.6591,6250200.509
168,177,898248.009,6245355.938,893031.9905,6248778.506
168,176,898248.009,6245355.938,895189.3055,6244277.833
168,175,898248.009,6245355.938,894474.0396,6248609.383
168,174,898248.009,6245355.938,895066.1113,6243303.233
168,173,898248.009,6245355.938,897817.951,6248248.827
168,172,898248.009,6245355.938,902428.6381,6247977.304
168,171,898248.009,6245355.938,895931.1183,6251813.658
168,169,898248.009,6245355.938,893041.6517,6244378.633
167,195,894828.0179,6249954.883,900626.3369,6253112.184
167,194,894828.0179,6249954.883,899962.6971,6251047.65
167,193,894828.0179,6249954.883,898360.8419,6249231.89
167,192,894828.0179,6249954.883,891245.3657,6253164.735
167,191,894828.0179,6249954.883,902518.0489,6247189.228
167,190,894828.0179,6249954.883,903115.7029,6248328.979
167,189,894828.0179,6249954.883,899142.4554,6252598.436
167,188,894828.0179,6249954.883,899652.3352,6251059.146
167,187,894828.0179,6249954.883,894884.4415,6241468.28
167,186,894828.0179,6249954.883,901234.2054,6254146.527
167,185,894828.0179,6249954.883,899255.6088,6249530.409
167,184,894828.0179,6249954.883,896259.7889,6247501.291
167,183,894828.0179,6249954.883,893999.1711,6241492.247
167,182,894828.0179,6249954.883,898140.7095,6250264.237
167,181,894828.0179,6249954.883,896109.477,6249277.96
167,180,894828.0179,6249954.883,894782.8435,6252089.149
167,179,894828.0179,6249954.883,893572.6591,6250200.509
167,178,894828.0179,6249954.883,887648.8491,6254456.912
167,177,894828.0179,6249954.883,893031.9905,6248778.506
167,176,894828.0179,6249954.883,895189.3055,6244277.833
167,175,894828.0179,6249954.883,894474.0396,6248609.383
167,174,894828.0179,6249954.883,895066.1113,6243303.233
167,173,894828.0179,6249954.883,897817.951,6248248.827
167,172,894828.0179,6249954.883,902428.6381,6247977.304
167,171,894828.0179,6249954.883,895931.1183,6251813.658
167,170,894828.0179,6249954.883,897221.6731,6254280.26
167,169,894828.0179,6249954.883,893041.6517,6244378.633
167,168,894828.0179,6249954.883,898248.009,6245355.938
166,195,895291.0231,6251467.41,900626.3369,6253112.184
166,194,895291.0231,6251467.41,899962.6971,6251047.65
166,193,895291.0231,6251467.41,898360.8419,6249231.89
166,192,895291.0231,6251467.41,891245.3657,6253164.735
166,191,895291.0231,6251467.41,902518.0489,6247189.228
166,190,895291.0231,6251467.41,903115.7029,6248328.979
166,189,895291.0231,6251467.41,899142.4554,6252598.436
166,188,895291.0231,6251467.41,899652.3352,6251059.146
166,186,895291.0231,6251467.41,901234.2054,6254146.527
166,185,895291.0231,6251467.41,899255.6088,6249530.409
166,184,895291.0231,6251467.41,896259.7889,6247501.291
166,182,895291.0231,6251467.41,898140.7095,6250264.237
166,181,895291.0231,6251467.41,896109.477,6249277.96
166,180,895291.0231,6251467.41,894782.8435,6252089.149
166,179,895291.0231,6251467.41,893572.6591,6250200.509
166,178,895291.0231,6251467.41,887648.8491,6254456.912
166,177,895291.0231,6251467.41,893031.9905,6248778.506
166,176,895291.0231,6251467.41,895189.3055,6244277.833
166,175,895291.0231,6251467.41,894474.0396,6248609.383
166,174,895291.0231,6251467.41,895066.1113,6243303.233
166,173,895291.0231,6251467.41,897817.951,6248248.827
166,172,895291.0231,6251467.41,902428.6381,6247977.304
166,171,895291.0231,6251467.41,895931.1183,6251813.658
166,170,895291.0231,6251467.41,897221.6731,6254280.26
166,169,895291.0231,6251467.41,893041.6517,6244378.633
166,168,895291.0231,6251467.41,898248.009,6245355.938
166,167,895291.0231,6251467.41,894828.0179,6249954.883
165,196,893782.4458,6252279.328,886765.1685,6254353.526
165,195,893782.4458,6252279.328,900626.3369,6253112.184
165,194,893782.4458,6252279.328,899962.6971,6251047.65
165,193,893782.4458,6252279.328,898360.8419,6249231.89
165,192,893782.4458,6252279.328,891245.3657,6253164.735
165,189,893782.4458,6252279.328,899142.4554,6252598.436
165,188,893782.4458,6252279.328,899652.3352,6251059.146
165,186,893782.4458,6252279.328,901234.2054,6254146.527
165,185,893782.4458,6252279.328,899255.6088,6249530.409
165,184,893782.4458,6252279.328,896259.7889,6247501.291
165,182,893782.4458,6252279.328,898140.7095,6250264.237
165,181,893782.4458,6252279.328,896109.477,6249277.96
165,180,893782.4458,6252279.328,894782.8435,6252089.149
165,179,893782.4458,6252279.328,893572.6591,6250200.509
165,178,893782.4458,6252279.328,887648.8491,6254456.912
165,177,893782.4458,6252279.328,893031.9905,6248778.506
165,176,893782.4458,6252279.328,895189.3055,6244277.833
165,175,893782.4458,6252279.328,894474.0396,6248609.383
165,173,893782.4458,6252279.328,897817.951,6248248.827
165,171,893782.4458,6252279.328,895931.1183,6251813.658
165,170,893782.4458,6252279.328,897221.6731,6254280.26
165,169,893782.4458,6252279.328,893041.6517,6244378.633
165,168,893782.4458,6252279.328,898248.009,6245355.938
165,167,893782.4458,6252279.328,894828.0179,6249954.883
165,166,893782.4458,6252279.328,895291.0231,6251467.41
164,196,894740.5409,6251293.16,886765.1685,6254353.526
164,195,894740.5409,6251293.16,900626.3369,6253112.184
164,194,894740.5409,6251293.16,899962.6971,6251047.65
164,193,894740.5409,6251293.16,898360.8419,6249231.89
164,192,894740.5409,6251293.16,891245.3657,6253164.735
164,189,894740.5409,6251293.16,899142.4554,6252598.436
164,188,894740.5409,6251293.16,899652.3352,6251059.146
164,186,894740.5409,6251293.16,901234.2054,6254146.527
164,185,894740.5409,6251293.16,899255.6088,6249530.409
164,184,894740.5409,6251293.16,896259.7889,6247501.291
164,182,894740.5409,6251293.16,898140.7095,6250264.237
164,181,894740.5409,6251293.16,896109.477,6249277.96
164,180,894740.5409,6251293.16,894782.8435,6252089.149
164,179,894740.5409,6251293.16,893572.6591,6250200.509
164,178,894740.5409,6251293.16,887648.8491,6254456.912
164,177,894740.5409,6251293.16,893031.9905,6248778.506
