center percent_arcs nb_vars nb_constraints nb_entries nb_vars_contract nb_constraints_contract nb_entries_contract 
2022 80 1750052 1026001 5050052 1212583 799512 3537114
2022 85 1798649 1074501 5244149 1284635 849035 3774089
2022 90 1847246 1123001 5438246 1352284 896738 4001772
2022 95 1895843 1171501 5632343 1421351 944611 4231335
2022 100 1944440 1220001 5826440 1494510 995666 4477912
5240 0 1107500 250000 2214500 500 500 500
5240 5 1162610 305001 2434610 48787 35286 125698
5240 10 1217720 360001 2654720 106563 79238 282554
5240 15 1272830 415001 2874830 166889 123454 449698
5240 20 1327940 470001 3094940 246488 178676 664480
5240 25 1383050 525001 3315050 307699 221333 838180
5240 30 1438160 580001 3535160 365129 260345 999420
5240 35 1493270 635001 3755270 418959 298413 1156296
5240 40 1548380 690001 3975380 479636 337172 1330566
5240 45 1603490 745001 4195490 542449 378725 1517148
5240 50 1658600 800001 4415600 616855 428591 1738558
5240 55 1713710 855001 4635710 693993 479721 1971604
5240 60 1768820 910001 4855820 755480 524188 2164272
5240 65 1823930 965001 5075930 823913 572336 2373704
5240 70 1879040 1020001 5296040 897134 621133 2597616
5240 75 1934150 1075001 5516150 965766 666997 2813824
5240 80 1989260 1130001 5736260 1026334 709249 3007120
5240 85 2044370 1185001 5956370 1087552 752213 3203106
5240 90 2099480 1240001 6176480 1156646 797879 3424100
5240 95 2154590 1295001 6396590 1240791 853892 3695106
5240 100 2209700 1350001 6616700 1309780 901955 3921124
